Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boye Olivia P.C.Q./C.P.Q.;Ciccone Enrico P.L.Q./Q.L.P.;Déry Roger Ind;Desjardins Patrick C.P.Q.;Hétu Marc C.A.Q.-É.F.L.;Perreault Anick Q.S.;Salt Kimberly P.V.Q./G.P.Q.;Symon John N.P.D.Q.;Vincent Carole P.Q.;B.V.;B.R.
306;Marquette;2018-10-01;G;Dorval, v;6;;34;351;2;62;1;1;20;4;3;0;4;97;1
306;Marquette;2018-10-01;G;Dorval, v;6;;35;364;8;99;0;1;16;16;6;1;8;155;2
306;Marquette;2018-10-01;G;Dorval, v;6;;36;362;4;113;3;1;36;9;11;5;7;189;1
306;Marquette;2018-10-01;G;Dorval, v;6;;37;363;5;81;1;0;29;9;3;3;3;134;2
306;Marquette;2018-10-01;G;Dorval, v;6;;38;350;3;58;3;0;16;5;1;2;2;90;3
306;Marquette;2018-10-01;G;L'Île-Dorval, v;1;Regr. BVO-26;39;1;0;0;0;0;0;0;0;0;0;0;0
306;Marquette;2018-10-01;G;Montréal, v;41;;40;371;6;106;2;0;23;13;5;4;8;167;2
306;Marquette;2018-10-01;G;Montréal, v;41;;41;377;10;75;0;1;79;28;11;2;33;239;1
306;Marquette;2018-10-01;G;Montréal, v;41;;42;384;5;69;0;2;45;22;12;1;25;181;3
306;Marquette;2018-10-01;G;Montréal, v;41;;43;372;3;94;0;0;53;36;14;5;18;223;6
306;Marquette;2018-10-01;G;Montréal, v;41;;44;369;1;74;0;0;48;33;7;10;26;199;4
306;Marquette;2018-10-01;G;Montréal, v;41;;45;382;6;84;0;2;60;41;24;8;22;247;1
306;Marquette;2018-10-01;G;Montréal, v;41;;46;372;7;93;1;0;67;43;9;4;16;240;4
306;Marquette;2018-10-01;G;Montréal, v;41;;47;372;1;89;2;0;75;32;7;11;20;237;3
306;Marquette;2018-10-01;G;Montréal, v;42;;48;367;0;77;1;0;50;33;19;6;17;203;4
306;Marquette;2018-10-01;G;Montréal, v;42;;49;376;5;87;0;0;67;33;7;3;25;227;2
306;Marquette;2018-10-01;G;Montréal, v;42;;50;364;0;62;0;0;51;40;18;13;13;197;0
306;Marquette;2018-10-01;G;Montréal, v;42;;51;382;4;85;0;0;65;54;23;12;18;261;6
306;Marquette;2018-10-01;G;Montréal, v;42;;52;368;1;75;0;1;64;31;14;7;18;211;0
306;Marquette;2018-10-01;G;Montréal, v;42;;53;370;4;80;0;0;32;10;5;1;3;135;0
306;Marquette;2018-10-01;G;Montréal, v;43;;54;357;7;60;1;1;44;27;11;6;19;176;2
