Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais Stéphane C.P.Q.;Bolduc Olivier Q.S.;Bonin Serge P.Q.;Gaboury Philippe P.C.Q./C.P.Q.;Henry Evelyne N.P.D.Q.;Picard Marc C.A.Q.-É.F.L.;Vaillancourt Ghyslain P.L.Q./Q.L.P.;B.V.;B.R.
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;2;;14;345;0;16;9;7;1;99;14;146;2
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;2;;15;361;1;10;7;8;0;107;19;152;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;2;;16;333;5;10;7;6;2;93;13;136;0
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;2;;17;344;3;13;21;17;3;97;20;174;5
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;2;;18;344;1;16;7;5;1;104;21;155;7
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;3;;19;352;3;16;14;12;2;127;25;199;11
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;3;;20;376;3;22;15;14;0;118;19;191;6
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;3;;21;360;3;26;16;5;1;131;23;205;1
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;3;;22;361;3;22;15;15;2;163;23;243;2
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;3;;23;362;0;23;12;12;1;110;26;184;0
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;3;;24;378;1;24;18;14;1;137;19;214;3
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;3;;25;371;1;24;30;6;3;120;19;203;2
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;3;;26;352;0;17;11;7;2;118;33;188;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;3;;27;366;4;14;21;11;3;136;29;218;2
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;3;;28;367;0;13;21;12;0;153;27;226;3
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;3;;29;346;1;16;19;6;2;92;16;152;7
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;3;;30;358;1;25;14;8;2;134;20;204;3
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;4;;31;390;0;22;18;15;2;136;25;218;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;4;;32;370;3;19;38;12;3;134;23;232;2
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;4;;33;378;1;21;19;8;1;175;16;241;5
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;4;;34;378;3;21;17;17;0;132;20;210;1
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;4;;35;399;1;23;27;7;1;151;23;233;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;4;;36;406;6;22;16;15;4;103;24;190;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;4;;37;391;0;28;18;9;0;91;15;161;6
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;4;;38;408;1;23;17;7;2;141;31;222;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;4;;39;358;1;18;18;5;2;97;35;176;3
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;5;;40;396;0;17;18;19;0;168;32;254;2
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;5;;41;406;0;20;22;15;3;155;25;240;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;5;;42;412;2;19;23;15;2;165;32;258;2
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;5;;43;419;3;16;23;14;0;172;39;267;0
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;5;;44;403;4;19;25;9;1;137;34;229;2
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;5;;45;408;1;26;16;9;5;146;23;226;3
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;5;;46;397;1;14;25;14;0;131;40;225;5
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;5;;47;395;1;23;17;13;1;113;24;192;6
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;5;;48;399;2;17;26;7;2;138;20;212;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;5;;49;397;0;24;24;12;1;121;35;217;1
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;5;;50;416;4;27;30;16;2;105;20;204;5
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;6;;51;339;1;16;20;9;2;63;20;131;3
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;6;;52;341;2;32;17;6;3;114;27;201;2
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;6;;53;316;1;17;13;6;0;112;32;181;5
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;6;;54;333;1;24;15;10;0;121;28;199;6
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;6;;55;331;3;14;24;6;0;121;18;186;7
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;7;;56;395;2;26;17;16;0;113;34;208;5
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;7;;57;394;1;33;26;2;0;122;27;211;5
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;7;;58;408;3;25;20;4;3;108;35;198;10
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;7;;59;394;2;31;23;10;2;123;40;231;6
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;7;;60;415;5;28;19;3;2;114;25;196;5
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;7;;61;402;1;24;17;10;2;128;33;215;7
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;7;;62;406;4;32;33;16;0;113;42;240;6
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;7;;63;398;4;20;20;6;1;130;32;213;5
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;7;;64;391;0;19;18;11;3;131;37;219;2
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;65A;222;1;15;12;4;0;76;20;128;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;65B;242;1;6;9;8;0;66;28;118;0
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;66;407;0;40;19;10;1;107;40;217;1
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;67A;251;3;11;22;6;0;62;37;141;5
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;67B;214;1;13;7;6;0;88;22;137;1
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;68A;248;0;23;9;10;0;94;23;159;6
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;68B;215;0;13;6;5;3;83;26;136;3
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;69;397;1;24;13;14;0;136;41;229;1
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;70;376;0;23;32;8;0;88;69;220;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;71;386;1;28;28;20;2;97;48;224;2
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;72;380;3;31;25;14;2;103;38;216;2
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;73;379;1;25;27;4;0;88;63;208;2
