Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cadôret Goulimine Sylvie Q.S.;Couture Vincent P.Q.;D'Amour Jean P.L.Q./Q.L.P.;Perron Martin P.C.Q./C.P.Q.;Tardif Denis C.A.Q.-É.F.L.;B.V.;B.R.;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA30: SV no 124 à 127;;;;0;13;57;68;3;71;212;3;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA31: SV no 128 à 131;;;;0;14;29;70;0;105;218;5;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA32: SV no 132 à 135;;;;0;0;5;4;0;6;15;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA33: SV no 136 à 141;;;;0;7;21;25;0;24;77;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA34: SV no 142 à 145;;;;0;21;32;74;1;97;225;5;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA35: SV no 146 à 149;;;;0;11;29;60;0;55;155;2;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Vote en installation d'hébergement;;;;0;16;33;371;5;141;566;17;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;10;39;174;3;43;269;6;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;255;427;816;22;884;2404;52;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Vote hors circonscription;;;;0;176;58;53;5;64;356;10;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;12;0;0;0;0;0;0;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;4;0;0;0;0;0;0;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Total de la circonscription;;;;50261;3783;5230;11477;373;13439;34302;583;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Majorité en faveur de Denis Tardif : 1962
