Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benoit Lisette P.C.Q./C.P.Q.;Bergeron Stéphane P.Q.;Dansereau Suzanne C.A.Q.-É.F.L.;Downey Pierre-Olivier P.V.Q./G.P.Q.;Hillel Vincent N.P.D.Q.;Péloquin Jean-René Q.S.;Wnorowska Agnieszka P.L.Q./Q.L.P.;B.V.;B.R.;
256;Verchères;2018-10-01;G;Sainte-Julie, v;2;;81;398;4;74;93;7;5;52;35;270;1;
256;Verchères;2018-10-01;G;Sainte-Julie, v;2;;82;381;2;61;69;3;0;26;37;198;3;
256;Verchères;2018-10-01;G;Sainte-Julie, v;2;;83;383;2;73;85;4;1;35;42;242;2;
256;Verchères;2018-10-01;G;Sainte-Julie, v;2;;84;386;3;71;126;6;5;35;27;273;0;
256;Verchères;2018-10-01;G;Sainte-Julie, v;3;;85;387;1;61;86;4;2;27;24;205;1;
256;Verchères;2018-10-01;G;Sainte-Julie, v;3;;86;371;4;66;91;2;2;31;16;212;5;
256;Verchères;2018-10-01;G;Sainte-Julie, v;3;;87;375;7;73;74;4;3;35;22;218;2;
256;Verchères;2018-10-01;G;Sainte-Julie, v;3;;88;373;5;64;83;2;2;38;29;223;2;
256;Verchères;2018-10-01;G;Sainte-Julie, v;3;;89;376;3;71;62;5;1;41;13;196;1;
256;Verchères;2018-10-01;G;Sainte-Julie, v;3;;90;381;1;74;74;2;1;41;17;210;5;
256;Verchères;2018-10-01;G;Sainte-Julie, v;3;;91;361;0;69;71;5;1;39;16;201;3;
256;Verchères;2018-10-01;G;Sainte-Julie, v;4;;92;383;5;66;82;9;1;27;18;208;0;
256;Verchères;2018-10-01;G;Sainte-Julie, v;4;;93;379;3;61;94;2;4;46;13;223;5;
256;Verchères;2018-10-01;G;Sainte-Julie, v;4;;94;382;1;86;85;7;4;39;24;246;7;
256;Verchères;2018-10-01;G;Sainte-Julie, v;4;;95;387;3;87;64;9;6;32;19;220;2;
256;Verchères;2018-10-01;G;Sainte-Julie, v;4;;96;392;3;61;86;3;1;45;23;222;9;
256;Verchères;2018-10-01;G;Sainte-Julie, v;4;;97;393;0;79;99;2;2;54;31;267;2;
256;Verchères;2018-10-01;G;Sainte-Julie, v;4;;98;380;0;80;87;5;4;36;15;227;3;
256;Verchères;2018-10-01;G;Sainte-Julie, v;4;;99;394;3;77;97;5;2;37;31;252;5;
256;Verchères;2018-10-01;G;Sainte-Julie, v;4;;100;396;3;71;91;6;0;44;41;256;4;
256;Verchères;2018-10-01;G;Sainte-Julie, v;5;;101;403;0;71;110;4;5;28;23;241;8;
256;Verchères;2018-10-01;G;Sainte-Julie, v;5;;102;402;4;70;94;5;5;38;20;236;8;
256;Verchères;2018-10-01;G;Sainte-Julie, v;5;;103A;214;3;24;47;1;3;19;18;115;5;
256;Verchères;2018-10-01;G;Sainte-Julie, v;5;;103B;214;2;34;76;1;0;18;17;148;3;
256;Verchères;2018-10-01;G;Sainte-Julie, v;5;;104;409;2;70;119;3;1;24;46;265;2;
256;Verchères;2018-10-01;G;Sainte-Julie, v;5;;105;415;2;73;126;8;1;35;30;275;5;
256;Verchères;2018-10-01;G;Sainte-Julie, v;5;;106;414;0;82;102;9;0;31;30;254;4;
256;Verchères;2018-10-01;G;Sainte-Julie, v;5;;107;412;2;74;127;5;2;46;21;277;5;
256;Verchères;2018-10-01;G;Sainte-Julie, v;5;;108;423;3;93;101;4;6;45;23;275;9;
256;Verchères;2018-10-01;G;Sainte-Julie, v;5;;109;410;0;97;110;10;5;33;35;290;3;
256;Verchères;2018-10-01;G;Sainte-Julie, v;5;;110;410;4;60;129;9;2;39;31;274;1;
256;Verchères;2018-10-01;G;Sainte-Julie, v;5;;111;420;2;84;102;3;1;43;32;267;3;
256;Verchères;2018-10-01;G;Sainte-Julie, v;5;;112;414;0;51;96;3;3;41;21;215;4;
256;Verchères;2018-10-01;G;Sainte-Julie, v;6;;113;360;4;62;90;1;3;37;21;218;5;
256;Verchères;2018-10-01;G;Sainte-Julie, v;6;;114;359;0;83;91;2;2;32;25;235;3;
256;Verchères;2018-10-01;G;Sainte-Julie, v;6;;115;365;1;83;77;2;2;48;20;233;5;
256;Verchères;2018-10-01;G;Sainte-Julie, v;6;;116;359;2;67;81;3;2;43;26;224;6;
